"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"102","G11.T1.R3_L1",10.9215,0.9995,0.0115,"G11.T1.R3","L1","R3","Alternaria","East-2","Eastern"
"103","G11.T1.R3_L2",9.9422,1.5446,0.1586,"G11.T1.R3","L2","R3","Alternaria","East-2","Eastern"
"104","G11.T1.R4_L1",35.3004,9.2789,0.7691,"G11.T1.R4","L1","R4","Alternaria","East-2","Eastern"
"105","G11.T1.R4_L2",21.3948,1.4657,0.0186,"G11.T1.R4","L2","R4","Alternaria","East-2","Eastern"
"106","G11.T1.R4_L3",19.8995,3.327,0.1589,"G11.T1.R4","L3","R4","Alternaria","East-2","Eastern"
"107","G11.T2.R1_L1",44.9072,9.2186,0.0976,"G11.T2.R1","L1","R1","Cladosporium","East-2","Eastern"
"108","G11.T2.R1_L2",46.3498,3.0447,0.2738,"G11.T2.R1","L2","R1","Cladosporium","East-2","Eastern"
"109","G11.T2.R2_L1",25.7421,0.7284,0.0166,"G11.T2.R2","L1","R2","Cladosporium","East-2","Eastern"
"110","G11.T2.R2_L3",12.1568,1.0513,0.1456,"G11.T2.R2","L3","R2","Cladosporium","East-2","Eastern"
"111","G11.T2.R4_L1",48.6275,10.196,2.5621,"G11.T2.R4","L1","R4","Cladosporium","East-2","Eastern"
"112","G11.T2.R4_L2",46.4339,5.0227,1.1538,"G11.T2.R4","L2","R4","Cladosporium","East-2","Eastern"
"113","G11.T3.R1_L1",52.3949,14.462,0.8365,"G11.T3.R1","L1","R1","Fusarium","East-2","Eastern"
"114","G11.T3.R2_L1",43.1357,12.5299,2.7615,"G11.T3.R2","L1","R2","Fusarium","East-2","Eastern"
"115","G11.T3.R2_L2",22.5737,2.9488,0.6802,"G11.T3.R2","L2","R2","Fusarium","East-2","Eastern"
"116","G11.T3.R3_L2",24.2452,6.2547,1.368,"G11.T3.R3","L2","R3","Fusarium","East-2","Eastern"
"117","G11.T3.R4_L1",20.2149,4.8424,0.4369,"G11.T3.R4","L1","R4","Fusarium","East-2","Eastern"
"118","G11.T3.R4_L3",11.0762,3.5987,0.7215,"G11.T3.R4","L3","R4","Fusarium","East-2","Eastern"
"119","G11.T4.R1_L1",23.6238,2.4851,0.1243,"G11.T4.R1","L1","R1","Aureobasidium","East-2","Eastern"
"120","G11.T4.R1_L2",26.6663,8.14,0.783,"G11.T4.R1","L2","R1","Aureobasidium","East-2","Eastern"
"121","G11.T4.R1_L3",32.9613,4.9313,0.5261,"G11.T4.R1","L3","R1","Aureobasidium","East-2","Eastern"
"122","G11.T4.R2_L1",31.5794,7.1021,0.3974,"G11.T4.R2","L1","R2","Aureobasidium","East-2","Eastern"
"123","G11.T4.R2_L3",33.9373,9.1528,0.8392,"G11.T4.R2","L3","R2","Aureobasidium","East-2","Eastern"
"124","G11.T4.R3_L1",10.9625,2.3515,0.3039,"G11.T4.R3","L1","R3","Aureobasidium","East-2","Eastern"
"125","G11.T4.R3_L2",5.6701,0.2892,0.0061,"G11.T4.R3","L2","R3","Aureobasidium","East-2","Eastern"
"126","G11.T4.R4_L2",45.5419,7.7108,1.2734,"G11.T4.R4","L2","R4","Aureobasidium","East-2","Eastern"
"127","G11.T5.R2_L1",12.592,1.4926,0.1154,"G11.T5.R2","L1","R2","Dioszegia","East-2","Eastern"
"128","G11.T5.R2_L2",23.3256,4.9529,1.1269,"G11.T5.R2","L2","R2","Dioszegia","East-2","Eastern"
"129","G11.T5.R2_L3",27.4116,9.7808,0.9278,"G11.T5.R2","L3","R2","Dioszegia","East-2","Eastern"
"130","G11.T5.R3_L1",23.8053,3.6823,0.7877,"G11.T5.R3","L1","R3","Dioszegia","East-2","Eastern"
"131","G11.T5.R3_L2",25.4939,3.9686,0.4344,"G11.T5.R3","L2","R3","Dioszegia","East-2","Eastern"
"132","G11.T6.R1_L1",11.482,1.14,0,"G11.T6.R1","L1","R1","Control","East-2","Eastern"
"133","G11.T6.R1_L2",9.3136,0.9225,0,"G11.T6.R1","L2","R1","Control","East-2","Eastern"
"134","G11.T6.R3_L1",28.3632,12.5754,1.624,"G11.T6.R3","L1","R3","Control","East-2","Eastern"
"135","G11.T6.R3_L2",11.3731,6.9396,2.4653,"G11.T6.R3","L2","R3","Control","East-2","Eastern"
"136","G11.T6.R3_L3",16.8767,6.669,2.952,"G11.T6.R3","L3","R3","Control","East-2","Eastern"
"137","G11.T6.R4_L2",12.4076,2.8435,0.0388,"G11.T6.R4","L2","R4","Control","East-2","Eastern"
